exchange_id,scooter_id,swapIn_X,swapIn_Y,trip_1_distance,swapout_X,swapout_Y,trip_last_distance,total_distance
2160dc8e-7a99-444b-8c21-a969dd561f77,41e8984e-c769-4568-bcc3-97c5da73734e,169147.73632027747,2543115.7204798805,0.2,168314.30674924632,2549006.3724964345,1.7000000000000002,11900.0
71bf97ca-a619-4535-8cc3-0dcf15a68f3f,41e8984e-c769-4568-bcc3-97c5da73734e,170310.970544383,2541705.6245204555,1.6,169147.73632027747,2543115.7204798805,0.8,21100.0
b1c3f88e-b263-4d7a-a39e-c4c4ca444684,41e8984e-c769-4568-bcc3-97c5da73734e,171099.2190853804,2545421.8776443037,1.7000000000000002,170310.970544383,2541705.6245204555,0.2,13400.0
5fc8234d-f1f3-4900-aa63-4315ea286a9c,41e8984e-c769-4568-bcc3-97c5da73734e,169447.57339606475,2547711.628724608,0.2,171099.2190853804,2545421.8776443037,1.5,21000.0
c5e66661-f366-4222-9a90-8b75b0d455a6,41e8984e-c769-4568-bcc3-97c5da73734e,171036.23508535448,2541509.109564485,0.1,169447.57339606475,2547711.628724608,3.3000000000000003,16300.000000000004
533af7bc-34dc-423e-a863-c17a8f717045,41e8984e-c769-4568-bcc3-97c5da73734e,174248.23599344477,2544296.6989004607,1.2000000000000002,171036.23508535448,2541509.109564485,0.1,11399.999999999998
ec5b3d43-cdfe-415e-8587-483a4191ac71,41e8984e-c769-4568-bcc3-97c5da73734e,171099.2190853804,2545421.8776443037,0.9,174248.23599344477,2544296.6989004607,2.9000000000000004,18500.0
82386e63-74d6-4d19-b92e-80517a87621f,41e8984e-c769-4568-bcc3-97c5da73734e,171099.2190853804,2545421.8776443037,0.4,171099.2190853804,2545421.8776443037,0.1,15100.000000000002
e6de7231-f5a3-4950-9b05-82a277b793e3,41e8984e-c769-4568-bcc3-97c5da73734e,164944.79215425908,2550020.697721769,1.5,171099.2190853804,2545421.8776443037,2.2,10499.999999999998
66f8a74f-5f26-45f8-bddc-7918b08cc1e9,41e8984e-c769-4568-bcc3-97c5da73734e,166787.63467977464,2548811.214250229,1.3,164944.79215425908,2550020.697721769,0.7000000000000001,19200.0
a9b62408-5aaa-490d-bc80-1aa5ad3fc1c4,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220225.60960433123,2682957.621433426,0.8,220225.60960433123,2682957.621433426,0.5,12700.0
a1ead03b-543c-4270-b18d-7d8bbd4d082f,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220427.774942236,2682272.527878252,0.7000000000000001,220225.60960433123,2682957.621433426,3.0,3900.0000000000005
0d2048d4-b36b-470a-a74f-679a7efb8c97,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220427.774942236,2682272.527878252,1.0,220427.774942236,2682272.527878252,1.2000000000000002,11700.000000000002
02303127-ad6c-4c06-9245-18eaf3f8316a,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221762.3257216202,2683086.490994693,1.9000000000000001,220427.774942236,2682272.527878252,1.1,13400.000000000002
b21fa61e-f3f5-4318-b37e-19d2531dca20,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220427.774942236,2682272.527878252,0.1,221762.3257216202,2683086.490994693,0.8,11600.0
b03a218f-49c2-4429-9a56-32463c06d6e6,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220225.60960433123,2682957.621433426,0.9,220427.774942236,2682272.527878252,0.5,12700.000000000002
ba6d0316-c3d7-4910-ad53-861bcc4f69ff,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221096.92890199024,2682943.7446517996,0.7000000000000001,220225.60960433123,2682957.621433426,1.1,2500.0000000000005
df330cfa-52a2-4b09-adde-a9e6af0c9359,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220225.60960433123,2682957.621433426,0.5,221096.92890199024,2682943.7446517996,0.1,10500.000000000002
3e5bb580-307b-42e5-b336-50b8ba1778ca,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221096.92890199024,2682943.7446517996,0.4,220225.60960433123,2682957.621433426,1.8,16100.000000000002
4655bda5-475f-4ace-a84e-9cfac2718df0,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221096.92890199024,2682943.7446517996,0.6000000000000001,221096.92890199024,2682943.7446517996,2.3000000000000003,15400.0
392bd4ad-0b9b-492f-ae9b-c5db5d6d9274,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,215028.5885705403,2683742.6651995587,2.0,221096.92890199024,2682943.7446517996,0.6000000000000001,16100.000000000002
2520e92f-033e-43e9-9d86-0ee1bc6f0e22,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221096.92890199024,2682943.7446517996,1.6,215028.5885705403,2683742.6651995587,1.7000000000000002,20500.0
475bfd92-3ecd-4215-9ef6-e4d349ea6bc4,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,220225.60960433123,2682957.621433426,2.4000000000000004,221096.92890199024,2682943.7446517996,1.4000000000000001,16400.000000000004
09487028-6152-41a5-b5ee-126a97328873,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,216334.65774780657,2681254.100659423,2.5,220225.60960433123,2682957.621433426,1.3,7800.0
f36e81c7-4c54-4694-acc4-48332f8b0980,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,216334.65774780657,2681254.100659423,2.0,216334.65774780657,2681254.100659423,0.5,6000.0
5281fb23-0d01-456f-91f7-cf72b0def9cf,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,216334.65774780657,2681254.100659423,3.7,216334.65774780657,2681254.100659423,1.0,15300.0
589c85b3-cf28-4d83-a7c8-87fd0113b6fa,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221636.43758823464,2683149.649754003,0.4,216334.65774780657,2681254.100659423,0.30000000000000004,14900.000000000002
c5de42b4-5201-42cd-a85f-75b31c4e15cc,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,216334.65774780657,2681254.100659423,0.4,221636.43758823464,2683149.649754003,2.8000000000000003,21400.000000000007
6bfcf1fa-90eb-412b-b43b-a46c63d95ba9,8b538eeb-6d13-4b1c-9f79-7c0953607a7c,221096.92890199024,2682943.7446517996,3.1,216334.65774780657,2681254.100659423,3.3000000000000003,14700.0
